PropertyID,BHKs,FloorArea,Bathrooms,Type_of_Sale,Furnishing_Status,Locality,Price_in_Lacs,Property_URL,Image_URL,Posted_On,Last_Modified_On
33558349,4,2870,4,Resale,Furnished,Ballygunge,588,https://www.magicbricks.com/propertyDetails/4-BHK-2870-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423333353538333439,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/05/Photo_h180_w240/33558349_4_IMG_20170613_134411_180_240.jpg,"Apr 05, '18",37:31.2
33788205,4,1800,3,New,Unfurnished,Ballygunge,149,https://www.magicbricks.com/propertyDetails/4-BHK-1800-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423333373838323035,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/16/Photo_h180_w240/33788205_1_2bbxfl_180_240.gif,"Apr 16, '18",37:31.4
33471793,4,2075,3,New,Unfurnished,Ballygunge,159,https://www.magicbricks.com/propertyDetails/4-BHK-2075-Sq-ft-Multistorey-Apartment-FOR-Sale-Park-Circus-in-Kolkata&id=4d423333343731373933,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/01/Photo_h180_w240/33471793_4_Elixir_Night_Elevation_180_240.jpg,"Apr 19, '18",37:31.5
30442395,4,3891,4,Resale,Unfurnished,Ballygunge,800,https://www.magicbricks.com/propertyDetails/4-BHK-3891-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata-r2&id=4d423330343432333935,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Nov/05/Photo_h180_w240/30442395_1_Project-Photo-10-Tirumani-Kolkata-5025841_480_1366_180_240.jpg,"Mar 31, '18",37:31.7
33444105,4,3900,4,Resale,Semi-Furnished,Ballygunge,850,https://www.magicbricks.com/propertyDetails/4-BHK-3900-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423333343434313035,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Mar/30/Photo_h180_w240/33444105_4_Project-Photo-18-Tirumani-Kolkata-5025841_1296_972_180_240.JPEG,"Mar 30, '18",37:31.9
31528783,4,3927,4,Resale,Unfurnished,Ballygunge,780,https://www.magicbricks.com/propertyDetails/4-BHK-3927-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423331353238373833,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-18-Tirumani-Kolkata-5025841_1296_972_310_462.JPEG,"May 06, '18",37:32.1
31739873,4,3350,4,New,Semi-Furnished,Ballygunge,1100,https://www.magicbricks.com/propertyDetails/4-BHK-4666-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-Place-in-Kolkata&id=4d423331373339383733,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Site-Photos-11-Sri-Avani-Kolkata-5040063_1296_972_310_462.JPEG,"Jan 08, '18",37:32.2
28854225,4,2142,4,New,Unfurnished,Ballygunge,750,https://www.magicbricks.com/propertyDetails/4-BHK-3805-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-Park-in-Kolkata-r2&id=4d423238383534323235,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Aug/15/Photo_h180_w240/28854225_1_g9building_180_240.jpg,"Mar 24, '18",37:32.6
32684687,4,2500,3,New,Unfurnished,Ballygunge,164,https://www.magicbricks.com/propertyDetails/4-BHK-2142-Sq-ft-Multistorey-Apartment-FOR-Sale-Park-Circus-in-Kolkata&id=4d423332363834363837,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-10-Elixir-Kolkata-5113049_796_1000_310_462.jpg,"Mar 13, '18",37:32.8
31624837,4,2016,2,New,Unfurnished,Ballygunge,212,https://www.magicbricks.com/propertyDetails/4-BHK-2500-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata-r1&id=4d423331363234383337,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Jan/03/Photo_h180_w240/31624837_6_IMG_20171220_133044_180_240.jpg,"Mar 06, '18",37:32.9
30932291,4,2075,4,Resale,Semi-Furnished,Ballygunge,230,https://www.magicbricks.com/propertyDetails/4-BHK-2016-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423330393332323931,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-4-Fort-Oasis-Kolkata-5022348_480_1366_310_462.jpg,"Jan 28, '18",37:33.1
32684677,4,2096,3,New,Unfurnished,Ballygunge,159,https://www.magicbricks.com/propertyDetails/4-BHK-2075-Sq-ft-Multistorey-Apartment-FOR-Sale-Park-Circus-in-Kolkata&id=4d423332363834363737,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-8-Elixir-Kolkata-5113049_663_1000_310_462.jpg,"Mar 13, '18",37:33.3
23790583,4,2064,3,New,Semi-Furnished,Ballygunge,210,https://www.magicbricks.com/propertyDetails/4-BHK-2096-Sq-ft-Multistorey-Apartment-FOR-Sale-Park-Circus-in-Kolkata&id=4d423233373930353833,https://img.staticmb.com/mbphoto/property/cropped_images/2016/Dec/03/Photo_h180_w240/23790583_12_heritage_srijan_park_zoom1_180_240.jpg,"Apr 05, '18",37:33.5
32684663,4,2482,3,New,Unfurnished,Ballygunge,158,https://www.magicbricks.com/propertyDetails/4-BHK-2064-Sq-ft-Multistorey-Apartment-FOR-Sale-Park-Circus-in-Kolkata&id=4d423332363834363633,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-10-Elixir-Kolkata-5113049_796_1000_310_462.jpg,"Mar 13, '18",37:33.7
32058485,5,5000,5,Resale,Furnished,Ballygunge,325,https://www.magicbricks.com/propertyDetails/5-BHK-5000-Sq-ft-Multistorey-Apartment-FOR-Sale-Palm-Avenue-in-Kolkata&id=4d423332303538343835,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Jun/17/Photo_h180_w240/23907397_5_elevation-en_180_240.jpg,"Apr 09, '18",37:36.2
31825599,5,3753,3,Resale,Unfurnished,Ballygunge,360,https://www.magicbricks.com/propertyDetails/5-BHK-3753-Sq-ft-Builder-Floor-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423331383235353939,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Dec/26/Photo_h180_w240/31489819_1_PropertyImage750-1629387745024_180_240.jpg,"May 06, '18",37:36.4
32420929,5,4600,5,Resale,Unfurnished,Ballygunge,700,https://www.magicbricks.com/propertyDetails/5-BHK-4600-Sq-ft-Multistorey-Apartment-FOR-Sale-Ballygunge-in-Kolkata&id=4d423332343230393239,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Sep/18/Photo_h180_w240/29520751_1_PropertyImage373-4153856275513_180_240.jpg,"Mar 08, '18",37:36.5
33982247,1,923,1,New,Unfurnished,New Town,59.1,https://www.magicbricks.com/propertyDetails/1-BHK-923-Sq-ft-Multistorey-Apartment-FOR-Sale-New-Town-in-Kolkata&id=4d423333393832323437,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/26/Photo_h180_w240/33982247_1_OneRajarhatcarparkingview_180_240.jpg,"Apr 26, '18",37:40.0
33364623,1,409,1,New,Unfurnished,Rajarhat,12.6,https://www.magicbricks.com/propertyDetails/1-BHK-409-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajarhat-in-Kolkata&id=4d423333333634363233,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-3-Basanta-Kolkata-5093581_355_800_310_462.jpg,"May 05, '18",37:40.1
28759019,1,376,1,New,Unfurnished,New Town,10.5,https://www.magicbricks.com/propertyDetails/1-BHK-376-Sq-ft-Multistorey-Apartment-FOR-Sale-New-Town-in-Kolkata&id=4d423238373539303139,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-9-Evanie-Eco-Nest-Kolkata-5102597_446_800_310_462.jpg,"Apr 16, '18",37:40.1
13970830,1,980,2,New,Unfurnished,Rajarhat,34.3,https://www.magicbricks.com/propertyDetails/1-BHK-980-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajarhat-in-Kolkata-r2&id=4d423133393730383330,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Jul/22/Photo_h180_w240/13970830_2_skyview1_180_240.jpg,"Apr 25, '18",37:40.2
33086663,1,775,1,Resale,Unfurnished,Rajarhat,40,https://www.magicbricks.com/propertyDetails/1-BHK-775-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajarhat-in-Kolkata&id=4d423333303836363633,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-9-Xanadu-Studios-Kolkata-5018108_972_1296_310_462.JPEG,"Mar 14, '18",37:40.4
30641019,1,550,1,New,Unfurnished,Rajarhat,15.9,https://www.magicbricks.com/propertyDetails/1-BHK-550-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajarhat-in-Kolkata&id=4d423330363431303139,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-16-Biswanath-Dham-Kolkata-5083436_479_800_310_462.jpg,"Nov 15, '17",37:40.5
31623711,1,422,1,New,Unfurnished,Rajarhat,11.4,https://www.magicbricks.com/propertyDetails/1-BHK-422-Sq-ft-Multistorey-Apartment-FOR-Sale-Rajarhat-in-Kolkata-r1&id=4d423331363233373131,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Jan/03/Photo_h180_w240/31623711_4_hires-Copy_180_240.jpg,"May 03, '18",37:40.6
30378647,1,1080,2,Resale,Unfurnished,New Town,80,https://www.magicbricks.com/propertyDetails/1-BHK-1080-Sq-ft-Multistorey-Apartment-FOR-Sale-New-Town-in-Kolkata&id=4d423330333738363437,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Nov/03/Photo_h180_w240/30378647_1_temp717975736094034004_180_240.jpg,"Apr 25, '18",37:41.1
33643829,1,600,1,Resale,Unfurnished,New Town,23,https://www.magicbricks.com/propertyDetails/1-BHK-600-Sq-ft-Multistorey-Apartment-FOR-Sale-New-Town-in-Kolkata&id=4d423333363433383239,https://img.staticmb.com/mbphoto/property/cropped_images/2018/Apr/09/Photo_h180_w240/33643829_1_PropertyImage01523263924066_180_240.jpg,"May 04, '18",37:41.2
11024964,1,450,1,Resale,Unfurnished,New Town,18,https://www.magicbricks.com/propertyDetails/1-BHK-450-Sq-ft-Multistorey-Apartment-FOR-Sale-New-Town-in-Kolkata-r2&id=4d423131303234393634,https://img.staticmb.com/mbphoto/property/cropped_images/2017/Mar/28/Photo_h180_w240/11024964_1_PropertyImage01490696554841_180_240.jpg,"Mar 10, '18",37:41.9
32438273,1,923,1,New,Unfurnished,New Town,69,https://www.magicbricks.com/propertyDetails/1-BHK-923-Sq-ft-Multistorey-Apartment-FOR-Sale-New-Town-in-Kolkata&id=4d423332343338323733,https://img.staticmb.com/mbimages/project/Photo_h310_w462/Project-Photo-1-One-Rajarhat-Kolkata-5099029_345_1366_310_462.jpg,"May 05, '18",37:42.8
